column_name	percent_available	percent_missing
ID	100.0	0.0
SonnetID	100.0	0.0
Incipit	100.0	0.0
AuthorID	100.0	0.0
Author	100.0	0.0
Gender	100.0	0.0
Date	100.0	0.0
LineNumber	100.0	0.0
StanzaNumber	100.0	0.0
Text	100.0	0.0
Call	100.0	0.0
Echo	67.34445704664242	32.655542953357575
Set	99.9146428446149	0.08535715538510108
Corpus	100.0	0.0
CallLemma	100.0	0.0
EchoLemma	100.0	0.0
SetLemma	99.9146428446149	0.08535715538510108
call_in_vad	76.09181155946354	23.908188440536463
echo_in_vad	51.14530594109187	48.85469405890813
call_in_ei	40.473322965751905	59.526677034248095
echo_in_ei	27.202039217520436	72.79796078247956
call_wf_in_vad	1.2452790477415476	98.75472095225845
echo_wf_in_vad	0.7939384726915506	99.20606152730845
call_wf_in_ei	2.712720554704589	97.28727944529541
echo_wf_in_ei	1.7656069127603047	98.2343930872397
call_in_nvad	6.1199911135016265	93.88000888649837
echo_in_nvad	4.146253054733819	95.85374694526618
call_in_nei	22.072424961706204	77.9275750382938
echo_in_nei	14.796019784151625	85.20398021584838
call_wf_in_nvad	0.0619716333617788	99.93802836663822
echo_wf_in_nvad	0.052617424552465764	99.94738257544753
call_wf_in_nei	0.20111548940050739	99.79888451059949
echo_wf_in_nei	0.13212819943173315	99.86787180056827
call_in_mls	2.393508179086325	97.60649182091367
echo_in_mls	1.5738456321691245	98.42615436783088
call_wf_in_mls	0.06781801386760833	99.93218198613239
echo_wf_in_mls	0.05144814845129986	99.9485518515487
anger_call	49.39957672205138	50.60042327794862
anger_echo	33.21211837751248	66.78788162248752
anticipation_call	5.973831600855917	94.02616839914408
anticipation_echo	3.9439682892321315	96.05603171076787
disgust_call	48.010476713866446	51.989523286133554
disgust_echo	32.24512704184839	67.75487295815161
fear_call	51.166352910912856	48.833647089087144
fear_echo	34.43985828373654	65.56014171626346
joy_call	52.782292482723946	47.217707517276054
joy_echo	35.28056780047473	64.71943219952527
sadness_call	49.66149456871251	50.33850543128749
sadness_echo	33.378155583878026	66.62184441612197
surprise_call	4.30644388059352	95.69355611940648
surprise_echo	2.879927037171285	97.12007296282871
trust_call	7.165323947943833	92.83467605205617
trust_echo	4.781169977666821	95.21883002233318
arousal_call	83.51905335406849	16.480946645931503
arousal_echo	56.1381148930697	43.8618851069303
dominance_call	6.1819627468634195	93.81803725313658
dominance_echo	4.1988704792862706	95.80112952071373
valence_call	85.98037954702244	14.019620452977561
valence_echo	57.763408673690115	42.236591326309885
valence_call_b	100.0	0.0
valence_echo_b	100.0	0.0
